Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6_HREF,Col7_SRC
Sameer Kaushal (@drsameerkaushal) / X,https://twitter.com/drsameerkaushal,X (formerly Twitter),› drsameerkaushal,"Head ophthalmologist at Artemis Hospital and PL Memorial Eye Clinic, Gurgaon ... Making Gurgaon the Germany of India in all the wrong ways. Thanks Mr Khatter ...",ophthalmologist,Germany,https://twitter.com/drsameerkaushal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_VIiQ28Fz7w7m_k3jVLX62pb0iWKblFPuQ6RN3aiyIu9Ny2w2U8cJDbI&s
Movu Inc. (@movu_inc) / X,https://mobile.twitter.com/movu_inc?lang=bn,mobile.twitter.com,› movu_inc,"... Ophthalmology #Cataractsurgery ... ophthalmology #ophthalmologist #cataractsurgery #cataract. চিত্র ... Kongress der DGII 2017 in Dortmund, Germany 2/16-18.",Ophthalmology,ophthalmology,,
IIHCR (@IITR_Healthcare) / X,https://twitter.com/iitr_healthcare,X (formerly Twitter),› iitr_healthcare,Open Positions: Interventional Cardiologist Ophthalmologist ... Excellent opportunity For Nurses to work in Germany Call/Whatsapp us on + ...,Ophthalmologist,Germany,https://twitter.com/iitr_healthcare,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSyY096b6tcOI4B-NEXZpZizBH5P3_hU7QT6FKbJPUMM_ZQc479pbR-Kd6&s
Rohit Varma (@DrRohitVarma) / X,https://twitter.com/drrohitvarma,X (formerly Twitter),› drrohitvarma,"Ophthalmologist and researcher specializing in epidemiology, public health and glaucoma. ... Germany restricts foreign arrivals; UK cases up nearly 50% in ...",Ophthalmologist,Germany,https://twitter.com/drrohitvarma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIiS4a-BT3Pe4IYy29Up2XgJvcDldO2qAbJSwnuriJ1WGpKEKgX2mLJMkW&s
Hadas Kalish (@HKalish) / X,https://twitter.com/hkalish,X (formerly Twitter),› hkalish,"Neuro-Ophthalmologist ... Before she died she sent her mom in Germany a text message: “thank you for all you did for me, I love you”. Image.",Ophthalmologist,Germany,https://twitter.com/hkalish,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7_wxXNgCgiyHLcUDhMfKTyCmMM_AyUd46645JbdAUhv-KkhmpMbo5pWg&s
Kevin (@kevinjohnsy) / X,https://twitter.com/kevinjohnsy,X (formerly Twitter),› kevinjohnsy,Ophthalmologist. History geek. Dog lover. DVO ✈️ MNL ... Germany (1/12). Image. 1.,Ophthalmologist,Germany,https://twitter.com/kevinjohnsy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaG74-Jx6C4t8g92fRgZz1OJwWsWxsu3sO_08ZkUp_JWYoRg5MVGOYrEU&s
"Samer Khosrof, MD (@sakhosrof) / X",https://twitter.com/sakhosrof,X (formerly Twitter),› sakhosrof,"Ophthalmologist, Vitreoretinal Surgeon, Lasik Surgeon. ... 1: Nazi Germany 2: Gaza Today. Image. 505.",Ophthalmologist,Germany,https://twitter.com/sakhosrof,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDEtBfMw8NVL5Z2WIX897KwuSvd7-9nOeNEj2P23CK44AmCOeSJxJysCw&s
Genomescientifics (@Genomehealthug) / X,https://twitter.com/genomehealthug,X (formerly Twitter),› genomehealthug,"Lisbon A, an ophthalmologist @EyeMengo while presenting @ASOU_Official ... Germany Meet us at our booth 11A24 to find out about NOVAIR Medical Gas ...",ophthalmologist,Germany,https://twitter.com/genomehealthug,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6YQ9rReh4qc87wRBgLbtR4kPI1Zir8PA9rxlslJWZVS6FQW_18D9YaFRB&s
Rui Chen (@CruiFay) / X,https://twitter.com/CruiFay,X (formerly Twitter),› CruiFay,"Fauci of Germany (the virologist Christian Drosten) has a podcast called ... The Ophthalmologist · @OphthoMag. ·. May 30, 2017. Hundreds of unexpected off ...",Germany,Ophthalmologist,,
Peter Phelan (@psphelan) / X,https://twitter.com/psphelan,X (formerly Twitter),› psphelan,From an ophthalmologist. Peter ... Dubliners cannot travel to Germany even if it's on a green list. The advice is don't leave county city unless essential ...,ophthalmologist,Germany,,
Mazhry-The Poet Ophthalmologist -ماہرِ چشم سخنور - X,https://twitter.com/mazhry,X (formerly Twitter),› mazhry,"31 May 2024 ... Poet #Ophthalmologist #Mazhry #EyeAcuity #vision # ... Germany ELON EDOF IOL at #LahoreOphthalmo2024 , sponsored by Optisurg Pakistan.",...,Ophthalmologist,https://twitter.com/mazhry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnxWJthRtNNKteBBhgqzMYHIHRiKvR5v7i3grsmci67w2N_cWJO8LxZP4&s
DR KANCHAN MALA (@DRKANCHANMALA1) / X,https://twitter.com/drkanchanmala1,X (formerly Twitter),› drkanchanmala1,Get your qualifications recognized and start a career in Germany. ... Find expert tips on how to deal with computer vision syndrome (CVS) from an ophthalmologist.,Germany,ophthalmologist,https://twitter.com/drkanchanmala1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0kX2FFezcJUN12po1Il8bN5RBzFtneU3uxI71wNDpqDnyZn7q-AVGyuqH&s
Dr. Sumit Choudhury (@sumit_doctor) / X,https://twitter.com/sumit_doctor,X (formerly Twitter),› sumit_doctor,"Ophthalmologist,doctor,parent. : ... #Germany !!! 1. 5.",Ophthalmologist,Germany,https://twitter.com/sumit_doctor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1-cP_bCuVqcWTvH3VMKAciuspOWnsUl4S9HwkFmsTF8-6nfYe6DWdlaQ&s
Hany (@hanyrizk_) / X,https://twitter.com/hanyrizk_,X (formerly Twitter),› hanyrizk_,"Berlin, Germany nobsstudio.com Joined November 2007. 888 Following · 2,695 Followers ... The ophthalmologist that didn't see it coming #Syrie. Image. 15.",Germany,ophthalmologist,https://twitter.com/hanyrizk_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_FEz9-oQ6gA_qbxKcj_Ap7wcqOKSDEE1GlEro5pLBPjKs7jjKWKAUOiAK&s
Mohamed Fargoun - X.com,https://twitter.com/fargounization,X (formerly Twitter),› fargounization,"Young Ophthalmologist ‍⚕️   Strong willed to leave this World one day ... Erlangen, Germany Joined June 2009. 326 Following · 259 Followers · Posts.",Ophthalmologist,Germany,https://twitter.com/fargounization,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSokHXqf6ynS3tVwlbnUjsFDMFOnyA9EmHfccb8XFwkh8quY-WtNHJ7-ko&s
Sheila Luk (@sheilaluk) / X,https://twitter.com/sheilaluk,X (formerly Twitter),› sheilaluk,London Ophthalmologist #moorfieldseyehospital #westerneye # ... Britain has now lost 89 hospital workers to Covid compared to 25 in Spain and 0 in Germany.,Ophthalmologist,Germany,https://twitter.com/sheilaluk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX1KCvOBn6sOaPT-pJ4gO9F10XAUPT4kh7wNh-U8Bq-ruHTTmhVsK9QsNN&s
Robert Pattrinson (@RPattrinson) / X,https://twitter.com/rpattrinson,X (formerly Twitter),› rpattrinson,"Ophthalmologist, Neurologist, Nephrologist, Gastroenterology specialist, Surgical Oncologist, Dentist ... Germany. Conference briefing on advanced techniques used ...",Ophthalmologist,Germany,https://twitter.com/rpattrinson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOCN9QWbOeccDEBcUIQlJFe8aOEPf8kWrsWxNpiSlrKGpRSqQvkvDQlbA&s
Alem Mekonnen (@AlemMekonnen) / X,https://twitter.com/alemmekonnen,X (formerly Twitter),› alemmekonnen,"On #InternationalWomensDay Stefanie Gedenk from Germany shares her hopes for a post-pandemic world. ... Yared Assefa, an ophthalmologist & corneal surgeon in ...",Germany,ophthalmologist,https://twitter.com/alemmekonnen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeljxfbs3JASpH9QGoYek9kkaSNYEdCLga1dTjdaghBfUu5lx0UOMWl3NA&s
Daniel Nachtrub (@DNachtrub) / X,https://twitter.com/dnachtrub,X (formerly Twitter),› dnachtrub,"It's called the Ames Room, and it was invented by American ophthalmologist ... Augsburg, Germany Joined September 2009. 81 Following · 17 Followers · Posts.",ophthalmologist,Germany,https://twitter.com/dnachtrub,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRH4FlqkEWfAnxlZjEK-0yYbd-vtuP7qlJVT-6qlo1OzKa_68WRUPQ0PBxS&s
Kfir Azoulay (@AzoulayKfir) / X,https://twitter.com/azoulaykfir,X (formerly Twitter),› azoulaykfir,"Ophthalmic industry executive. Head of Strategy at Heidelberg Engineering ... — All tweets are my own. Heidelberg, Germany linkedin.com/in/kfir-azoula…",Ophthalmic,Germany,https://twitter.com/azoulaykfir,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqhWcPiv8pVk7KkYto-oWvlJhUCEcCnWdvYkGBz_wAxAXscga9PFBPZDhw&s
Srimeenakshi Sankaranarayanan (@Srimeenakshi_S) / X,https://twitter.com/srimeenakshi_s,X (formerly Twitter),› srimeenakshi_s,"Düsseldorf, Germany Joined April 2019. 467 Following · 113 Followers · Posts ... As a visionary ophthalmologist, compassionate leader, and empathetic mentor ...",Germany,ophthalmologist,https://twitter.com/srimeenakshi_s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4js663CZXCXEDsCq2G5mIy1t92ogZyfkleMY33DQZ5T0K9615h-LIXabn&s
satya (@veeru4545) / X,https://twitter.com/veeru4545,X (formerly Twitter),› veeru4545,"Ophthalmologist, sports lovers ,love for long drives and vacations, Indian. ... Germany – $183,000 United Kingdom – $138,000 Saudi Arabia ...",Ophthalmologist,Germany,,
SIVA (@bshivaca) / X,https://twitter.com/bshivaca,X (formerly Twitter),› bshivaca,"TDP Germany · @TDP_Germany. ·. May 2. అన్నగారి గొప్పతనం ... Suresh, an ophthalmologist in Doha sent this. Couldn't believe my ears. Amazing ...",Germany,ophthalmologist,https://twitter.com/bshivaca,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxskns22Sq0d9ggtpRrtkcCcCqJJuHR5xpu6g34x-098-RHSDhmI3ZyF8&s
Luis Peña (@LuisPG2014) / X,https://twitter.com/luispg2014,X (formerly Twitter),› luispg2014,"Physician, Ophthalmologist, Professor. I love books, space exploration, science and LEGO ... Argentina, Paraguay, Uruguay, Germany, Austria, Portugal ...",Ophthalmologist,Germany,https://twitter.com/luispg2014,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGVPHB5sIKpTSrTccZWyVyEuObXdv7Ieq9fpHBAZr7fYszw91T0nq8f6GX&s
Karkhur (@samendrakarkhur) / X,https://twitter.com/samendrakarkhur,X (formerly Twitter),› samendrakarkhur,"@IYC. ·. Dec 23, 2019. आप मुझसे नफरत करो लेकिन देश से नफरत मत करो - प्रधानमंत्री नरेंद्र मोदी Hate me, But don't hate Germany - Adolf Hitler जर्मनी हम शर्मिंदा है, हिटलर अभी जिंदा है.",Germany,,,
Tom Spurling (@TomSparlo1) / X,https://twitter.com/tomsparlo1,X (formerly Twitter),› tomsparlo1,... Germany for the 35th International Congress of German Ophthalmic Surgery. @DOC2021x · https://linkedin.com/posts/nova-eye-medical_u19-glaucoma-canaloplasty ...,Germany,German Ophthalmic,https://twitter.com/tomsparlo1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNT7aBpHcCo-2R1u3evBN3SvAjhB0hxmy01gglbbqM2tII6sOelMp12Yg&s
Jason Lowe (He/Him) (@DrJasonLowe1) / X,https://twitter.com/drjasonlowe1,X (formerly Twitter),› drjasonlowe1,Made respect to artist and #ophthalmologist #sketching. Image ... The Five-Year Engineering Feat Germany Pulled Off in Months - The Wall Street Journal.,ophthalmologist,Germany,https://twitter.com/drjasonlowe1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjcwMc9wh9O9xHljTxh7HIvBL4-PXtGnwXyYvizbzzhIIOkT_oWHKXl-I&s
Mehrdad-Sam Attaran (@docmsam) / X,https://twitter.com/docmsam,X (formerly Twitter),› docmsam,Augenarzt (ophthalmologist) ... Hannover/ Germany drattaran.net Joined June 2014. 97 Following · 12 Followers · Posts · Replies.,ophthalmologist,Germany,https://twitter.com/docmsam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6FSSy4X1fdxsseN1cj9h7L8luqM0s7VeQoohpcMiJcm_FMtUUuv3tAdE&s
priyank passey (@passey2411) / X,https://twitter.com/passey2411,X (formerly Twitter),› passey2411,"Aug 9, 2021. The WFH schedule calls for taking care for our eyes much more than ever before. This International Ophthalmologist Day let's pledge to protect our ...",Ophthalmologist,,https://twitter.com/passey2411,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt9AXCb3K2mbEDm4-t_T0mygy1SKbMN8eTS2GmmD-5P7Ya_3XQV-jM_XU&s
"Carlos W. Arzabe, M.D. (@carloswarzabe) / X",https://twitter.com/carloswarzabe,X (formerly Twitter),› carloswarzabe,Most well-developed public health systems: 1. Sweden 2. Canada 3. Finland 4. Denmark 5. Norway 6.     Switzerland 7. Germany 8. Australia 9.,Germany,,https://twitter.com/carloswarzabe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7svW6E5kMJz7CYQYs3pobPZf2tdDyqeqGCeM2bwMM5y3AQ170S97Ze7kI&s
Ayomide (@ayomi_100) / X,https://twitter.com/ayomi_100,X (formerly Twitter),› ayomi_100,"... Germany as a Data Analyst from Nigeria. Register for FREE here: https ... An Ophthalmologist needs his sight and needs to be alive, to preserve the ...",Germany,Ophthalmologist,https://twitter.com/ayomi_100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTghI0KM03-5X0gtTrEu999HO9wZxoovmunIbYra4GEtSc5MEoOVTHpDxo&s
AYOXXA Biosystems,https://twitter.com/ayoxxa,X (formerly Twitter),› ayoxxa,"... Germany! Check out the extensive 4-day programme of cutting-edge research ... With his scientific background in #Ophthalmology and #Immunology, Amir is ...",Germany,Ophthalmology,https://twitter.com/ayoxxa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQz_Ejh0D5qpvIR0zqI16PvPhtO-GmLjfd0LciuCxtOAS2a-b1LLpMyG0w&s
"Mark Agas, MD, DPBO (@MarkAgasMD) / X",https://twitter.com/markagasmd,X (formerly Twitter),› markagasmd,"Kadena germany · @JUSTFUN40923842. ·. Nov 9, 2022. Replying to ... Were you looking for an Ophthalmologist (eye doctor) for you, your family and friends?",germany,Ophthalmologist,https://twitter.com/markagasmd,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWxhM9V7l2Svkxhi8SEe5HQ0oagXW2YZMQe4IhxannZnJm2br-fPJ2hyY&s
Stephan Diederich (@PvF) / X,https://twitter.com/pvf,X (formerly Twitter),› pvf,"Mannheim, Germany Joined May 2008. 456 Following · 332 Followers · Posts · Replies ... Ophthalmology« zu #VirtualReality-Training in der #Augenchirurgie.",Germany,Ophthalmology,https://twitter.com/pvf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwTnB7STa-5Bdrx2IXYEBtzN2j9FQmZakZa4Doa9GhGfsuVzFsisGOHjU&s
Wellcome-Wolfson Institute Experimental Medicine,https://twitter.com/wwiem_qub,X (formerly Twitter),› wwiem_qub,", she is Honorary Consultant Ophthalmologist and Vitreoretinal ... on Polymyxin resistance in Enterobacter, with collaborators in Germany and Australia &.",Ophthalmologist,Germany,https://twitter.com/wwiem_qub,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxdy8EphjqvawEyfFJf77cmf6Ya6PmV6iIOlSzVHgNVyShxo68SYw4xd9D&s
Sebastian Strangio (@sstrangio) / X - Twitter,https://twitter.com/sstrangio,X (formerly Twitter),› sstrangio,"Assad is a trained ophthalmologist, and yet did not see this coming. ... “The list of normally stable and healthy democracies now mired in serious political ...",ophthalmologist,,https://twitter.com/sstrangio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYM8EMwNZ7WefH74bMwDlaYRvRwpwoFcoRFAdBupOzNp423Jh2VV5NckJE&s
Texas Children's Global Health (@TCHGlobalHealth) / X,https://twitter.com/tchglobalhealth,X (formerly Twitter),› tchglobalhealth,"... ophthalmologist care to 936 patients, and delivered 123+ new glasses! ... The Baylor Foundation Uganda is presenting five abstracts at the #IAS2024 Conference in ...",ophthalmologist,,https://twitter.com/tchglobalhealth,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkQmJ4VJ6O9OEyY-PhMVdMsj-7ozGmnPAiBN6IJFG4Ua3ZpCXqX251E1Q&s
Guillaume Mouron (@GMouron) / X,https://twitter.com/gmouron,X (formerly Twitter),› gmouron,"Frankfurt on the Main, Germany gmo-web.info Joined December 2009. 289 ... Assad is a trained ophthalmologist, and yet did not see this coming. 100. 1K. 9K.",Germany,ophthalmologist,https://twitter.com/gmouron,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcCq4k6mtMKCleGL5JF3YNTZc_90gg-dglfiHei8Ge0LlpOaduYNTW_WCI&s
Samir Bassir / سامر بصيري (@dr_samirbassiry) / X,https://twitter.com/dr_samirbassiry,X (formerly Twitter),› dr_samirbassiry,"Ophthalmologist,، البوردالألماني والزمالة الأوروبية ( خريج المستشفى الجامعي في هامبورغ المانيا .مهتم بالتعليم الطبي .. Translate bio. Hamburg, Germany ...",Ophthalmologist,Germany,https://twitter.com/dr_samirbassiry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZMMibCoN8L6-W-_SCjAp6UC0ciyo3FjtU1T97NEwdeQsKzF-5MmGxXVkk&s
Dr.Haitham Alzahrani (@HaithamBinNaif) / X,https://twitter.com/haithambinnaif,X (formerly Twitter),› haithambinnaif,"طبيب عيون ، Ophthalmologist ، البورد الألماني في طب وجراحة العيون. Translate bio. Saudi Arabia, Germany Joined March 2012. 92 Following · 128 Followers.",Ophthalmologist,Germany,,
Hosuk Lee-Makiyama (@leemakiyama) / X,https://twitter.com/leemakiyama,X (formerly Twitter),› leemakiyama,... ophthalmologist at St Mary's Hospital with his JP Morgan banker wife. 1. 1 ... Why the European & German business model of suppressing salaries and R&D ...,ophthalmologist,German,https://twitter.com/leemakiyama,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlMlMgL4eUg2GzxCwlFF340wSP4qkyGkK-4v6qQQmP0yDl0djYZwt6qayv&s
MUH'D JAMI' OLAMILEKAN (@OmoafiOrolagba) / X,https://twitter.com/omoafiorolagba,X (formerly Twitter),› omoafiorolagba,"He died last week Thursday in Munich, Germany and the German government can't find any relatives. ... An Ophthalmologist needs his sight and needs to ...",Germany,German,https://twitter.com/omoafiorolagba,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZfTNW1SUiCnZpZRbUg8AkOq-EF63IL8_HhF4WLBusAolZqrYHGXNaCgQ&s
Taylor Smith (@TaylorASmith_) / X,https://twitter.com/taylorasmith_,X (formerly Twitter),› taylorasmith_,"Assad is a trained ophthalmologist, and yet did not see this coming. ... 12 hours and counting - notary reads every single word of Series A docs in Germany out ...",ophthalmologist,Germany,https://twitter.com/taylorasmith_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO3gPtZczMFXWJ8ShRPk428E57wkI1ZcJTDWO_IJdXVj3bvWb53VmY-NPh&s
Cormac O Rafferty (@CormacORafferty) / X,https://twitter.com/cormacorafferty,X (formerly Twitter),› cormacorafferty,"""""An good way to learn German is to try reading children's books to familiarise yourself with basic grammar and vocabulary"""" German children's book: ... Assad is a ...",German,German,https://twitter.com/cormacorafferty,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF8Xm8z6JR24ceJcBPeaiMjAfg2WKM5m9rWTkd8f7un3ZuTKTwXLea_IcN&s
Shbn (@shbnGP) / X,https://twitter.com/shbngp,X (formerly Twitter),› shbngp,"Dhruv Rathee is from Germany, and he is pushing his ... Please see an Ophthalmologist for your eye-related disorders and not an Ayurveda practitioner.",Germany,Ophthalmologist,https://twitter.com/shbngp,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPJP2liNE7T8KOyN7ZiPedlbdZP_Z21RptDf4BQhc2kP1kKBHrsvDxVmB_&s
Mahmud (@mahmudabumahmud) / X,https://twitter.com/mahmudabumahmud,X (formerly Twitter),› mahmudabumahmud,"Nov 28. My wife works in a pathology medical devices company in Germany as a key account manager. ... A Nigerian Doctor, Dr Idris Olajide, an Ophthalmologist, was ...",Germany,Ophthalmologist,https://twitter.com/mahmudabumahmud,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEK3qyayun-ztjwJNfoVK0Yuij-hzktZEkucKStk7pc5f6QQ_oDWoGG-iL&s